name,piece_type,file,triangles,bbox_x_mm,bbox_y_mm,bbox_z_mm,solid_volume_cm3,solid_pla_g,magnets_needed
floor_1x1,floor tile (1x1),floor_1x1.stl,2268,31.4,31.4,4.0,2.19,2.7,0
floor_2x2,floor tile (2x2),floor_2x2.stl,3120,56.8,56.8,4.0,9.07,11.2,0
wall_1u,straight wall (1 unit),wall_1u.stl,1860,29.4,6.0,52.2,7.75,9.6,0
wall_2u,straight wall (2 units),wall_2u.stl,2108,54.8,6.0,52.2,15.6,19.3,0
wall_corner_r,90-degree corner wall,wall_corner_r.stl,3192,32.4,28.4,52.2,15.6,19.3,0
wall_corner_l,90-degree corner wall,wall_corner_l.stl,3008,32.4,28.4,52.2,15.6,19.3,0
wall_parapet,"parapet wall (1 unit, half height)",wall_parapet.stl,3828,29.4,6.0,26.8,3.92,4.9,0
wall_tower,"tower wall (1 unit, extra tall)",wall_tower.stl,2548,29.4,6.0,77.6,11.57,14.4,0
wall_door,doorway wall (2 units),wall_door.stl,2656,54.8,6.0,52.2,12.26,15.2,0
wall_window,window wall (1 unit),wall_window.stl,2632,29.4,6.0,52.2,6.61,8.2,0
wall_decor,decorated wall (1 unit),wall_decor.stl,2868,29.4,6.0,52.2,7.61,9.4,0
mosaic_center,mosaic centerpiece tile (2x2),mosaic_center.stl,6572,56.8,56.8,4.0,9.27,11.5,0
mosaic_blank,mosaic centerpiece tile (2x2),mosaic_blank.stl,5532,56.8,56.8,4.0,9.44,11.7,0
# kit totals: 13 pieces, 157g solid PLA, 0 magnets
